['user_id', 'source', 'Товары для животных']
['1840e0b9d4', 'other', 'Товары для животных']
['4e4f90fcfb', 'context', 'Товары для животных']
['afea8d72fc', 'other', 'Товары для животных']
['2824221f38', 'email', 'Товары для животных']
['373a6055fe', 'other', 'Товары для животных']
['9b2ab046f3', 'other', 'Товары для животных']
['9f39d307c3', 'context', 'Товары для животных']
['44edeffc91', 'context', 'Товары для животных']
['704474fa2d', 'other', 'Товары для животных']
['1de31be403', 'other', 'Товары для животных']
['5da0dedf13', 'context', 'Товары для животных']
['b71f36a5e4', 'other', 'Товары для животных']
['79843a685a', 'context', 'Товары для животных']
['ff68cee0d6', 'context', 'Товары для животных']
['e8447c40e2', 'email', 'Товары для животных']
['b9ef8fdf47', 'other', 'Товары для животных']
['98d290be27', 'other', 'Товары для животных']
['3fff459bda', 'other', 'Товары для животных']
['fa0079a5a8', 'other', 'Товары для животных']
['fdd6b2fc76', 'context', 'Товары для животных']
['54ecd881a2', 'other', 'Товары для животных']
['22d2f03a17', 'context', 'Товары для животных']
['c9fa1b54d5', 'other', 'Товары для животных']
['3f8e1ccd3f', 'other', 'Товары для животных']
['81a9988b83', 'context', 'Товары для животных']
['65f44a2eb7', 'context', 'Товары для животных']
['6df948569b', 'other', 'Товары для животных']
['5f8fbb0149', 'other', 'Товары для животных']
['3ecff691fd', 'context', 'Товары для животных']
['dd0e912251', 'other', 'Товары для животных']
['9250593d55', 'other', 'Товары для животных']
['37c4e090e4', 'other', 'Товары для животных']
['22fa3ea76f', 'other', 'Товары для животных']
['73b876b237', 'context', 'Товары для животных']
['ed6b87f95d', 'context', 'Товары для животных']
['f983a69d67', 'other', 'Товары для животных']
['4ea17212f8', 'other', 'Товары для животных']
['c6de96a5e2', 'other', 'Товары для животных']
['4175fd2e58', 'other', 'Товары для животных']
['d8e3bcee53', 'context', 'Товары для животных']
['680aa815f9', 'other', 'Товары для животных']
['4a92a68cf9', 'other', 'Товары для животных']
['905e60cb52', 'other', 'Товары для животных']
['393bcfb298', 'other', 'Товары для животных']
['06d450cc57', 'context', 'Товары для животных']
['b60ce22f17', 'other', 'Товары для животных']
['6f159c4c2e', 'other', 'Товары для животных']
['564202f6bd', 'context', 'Товары для животных']
['1908683775', 'other', 'Товары для животных']
['8fd957a463', 'other', 'Товары для животных']
['72e0a3f1d0', 'other', 'Товары для животных']
['7f5f56e517', 'other', 'Товары для животных']
['bc1a0a7e26', 'other', 'Товары для животных']
['17639fe89d', 'other', 'Товары для животных']
['74c9201f84', 'context', 'Товары для животных']
['bc4ebda0df', 'other', 'Товары для животных']
['fe4615dd15', 'other', 'Товары для животных']
['d2c560746d', 'other', 'Товары для животных']
['f0a93d52d2', 'other', 'Товары для животных']
['fe52ded300', 'other', 'Товары для животных']
['dbe70d84e4', 'context', 'Товары для животных']
['f660dbcc3f', 'context', 'Товары для животных']
['f93283c9ee', 'other', 'Товары для животных']
['66bea9bf58', 'other', 'Товары для животных']
['111c52d9bc', 'other', 'Товары для животных']
['16dc76e94d', 'other', 'Товары для животных']
['87f37b380c', 'other', 'Товары для животных']
['365e3edd2e', 'other', 'Товары для животных']
['830421d975', 'other', 'Товары для животных']
['7d6c62f0a2', 'context', 'Товары для животных']
['77465a0b61', 'other', 'Товары для животных']
['ee9eb52181', 'email', 'Товары для животных']
['871c1fa9ae', 'other', 'Товары для животных']
['03b91dba06', 'other', 'Товары для животных']
['6cb42b2632', 'email', 'Товары для животных']
['c7f6fbe42f', 'other', 'Товары для животных']
['9ab8f3bbb8', 'context', 'Товары для животных']
['63df9ee9d3', 'context', 'Товары для животных']
['2ffd6c724d', 'other', 'Товары для животных']
['af24cffd03', 'context', 'Товары для животных']
['421149bb9a', 'other', 'Товары для животных']
['24300c6d1c', 'other', 'Товары для животных']
['40fe35eb76', 'email', 'Товары для животных']
['9ca11a651f', 'email', 'Товары для животных']
['b7e640032f', 'other', 'Товары для животных']
['3691ad282b', 'other', 'Товары для животных']
['00ea2f7484', 'other', 'Товары для животных']
['6f198ac1c9', 'other', 'Товары для животных']
['0d479d4259', 'other', 'Товары для животных']
['2c8067b7a3', 'other', 'Товары для животных']
['b461051101', 'other', 'Товары для животных']
['d39a1d56c3', 'context', 'Товары для животных']
